Na hroudě;0;10000;even;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Na hroudě;25;10000;odd;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Na spádu;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Nad Primaskou;1; 29;odd;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Nad Primaskou;2; 20;even;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Nosická;10; 16;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Nučická;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Nupacká;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Petrovická;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Pitkovická;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Pod altánem;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Průběžná;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Průhonická;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Radošovická;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Srbínská;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Strančická;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Svojetická;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Šeberovská;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
U hranic;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
U hráze;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
U nových vil;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
U Trati;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
U Vesny;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Újezdská;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
V olšinách;28; 108;even;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
V olšinách;43; 69;odd;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
V Předpolí;1; 20;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
V zátočce;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Vilová;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Voděradská;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Železniční;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Běchovická;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Blatovská;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Břežanská;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Černická;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Černokostelecká;0;10000;odd;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Hostýnská;0;10000;odd;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Hostýnská;2; 10;even;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Hostýnská;16;10000;even;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Hřibská;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Izraelská;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Janýrova;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Kounická;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Limuzská;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Malínská;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Na palouku;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Na vinici;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Na výsluní;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Nad úžlabinou;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Názovská;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Ovčárská;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Plaňanská;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Počernická;0;10000;even;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Pod strašnickou vinicí;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Přistoupimská;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Révová;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Rostoklatská;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Tejnická;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Tismická;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
Tuchorazská;0;10000;all;Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace;Městská část Praha 10
