IZO;Je základní;adresa1;adresa2;adresa3
#181035723;FALSE;Na Stráni   2014 28;405 02 Děčín VI - Letná
#181028603;FALSE;Sportovní 385;281 66 Jevany
#181028611;FALSE;Sportovní 385;281 66 Jevany
#181033453;FALSE;Kopeckého sady 12 12;301 00 Plzeň
#181033461;FALSE;Kopeckého sady 12 12;301 00 Plzeň
#181033712;FALSE;U školy, p.čč.st. 333/3;Rosice;664 84 Zastávka
#181033712;FALSE;Na Vyhlídce, p. č. st. 1642/3;665 01 Rosice
#108047849;FALSE;Trpišovice, Koňkovice-táborová základna;584 01 Ledeč nad Sázavou
#181034042;FALSE;756 51 Zašová 809
#181037238;FALSE;Vintířov - Důl Jiří;357 44 Vintířov
#181067048;FALSE;Studentská 312/65;360 07 Karlovy Vary
#181068818;FALSE;Nad Bahnivkou 140;251 01 Říčany
#181039125;FALSE;Chorušice 99;277 37
#181067391;FALSE;Tři Vršky 532;267 01 Králův Dvůr
#181084911;FALSE;pozemek p. č. 679/5 o výměře 2.562 m2 (Zeyerova ulice);k.ú . Úšovice, 353 01 Mariánské Lázně
#181063123;FALSE;Teplická         137/172;405 02 Děčín VIII - Dolní Oldřichov
#181063131;FALSE;Teplická         137/172;405 02 Děčín VIII - Dolní Oldřichov
#181064111;FALSE;Školní 2400/4;251 01 Říčany
#181064243;FALSE;114;294 79 Kropáčova Vrutice 114
#181064464;FALSE;Nádražní 1908;765 02 Otrokovice
#181064472;FALSE;Nádražní 1908;765 02 Otrokovice
#181064791;FALSE;Vodičkova 683 22;110 00 Praha 1
#181064791;FALSE;Truhlářská 1120 22;110 00 Praha 1
#181064791;FALSE;Slovenská 1726 27;120 00 Praha 2
#181064791;FALSE;Na Smetance 505 1;120 00 Praha 2
#181064791;FALSE;náměstí Jiřího z Lobkovic 121 22;130 00 Praha 3
#181064791;FALSE;Nedvědovo náměstí 140 13;147 00 Praha 4
#181064791;FALSE;Pošepného náměstí 2022 3;148 00 Praha 4
#181064791;FALSE;Na Planině 1393 13;140 00 Praha 4
#181064791;FALSE;Školní 700 5;147 00 Praha 4
#181064791;FALSE;V Ladech 6;149 00 Praha 4
#181064791;FALSE;Na Chodovci 2700 54;141 00 Praha 4
#181064791;FALSE;Filosofská 3 1166;142 00 Praha 4
#181064791;FALSE;Angelovova 3183 15;143 00 Praha 4
#181064791;FALSE;Smolkova 565 8;142 00 Praha 4
#181064791;FALSE;Květnového vítězství 1554 54;149 00 Praha 4
#181064791;FALSE;Zárubova 977 17;142 00 Praha 4
#181064791;FALSE;Jánošíkova 1320 2;142 00 Praha 4
#181064791;FALSE;Táborská 421 45;140 00 Praha 4
#181064791;FALSE;Mendíků 1 1000;140 00 Praha 4
#181064791;FALSE;Písnická 760 11;142 00 Praha 4
#181064791;FALSE;Květnového vítězství 57 17;149 00 Praha 4
#181064791;FALSE;Horáčkova 1100 14;140 00 Praha 4
#181064791;FALSE;K Sídlišti 840 2;140 00 Praha 4
#181064791;FALSE;Černošická 168 12;155 31 Praha 5
#181064791;FALSE;Mládí 135 4;150 00 Praha 5
#181064791;FALSE;U Tyršovy školy 430 1;158 00 Praha 5
#181064791;FALSE;Weberova 1090 1;150 00 Praha 5
#181064791;FALSE;Radlická 115 140;150 00 Praha 5
#181064791;FALSE;Mezi Školami 2322 1;158 00 Praha 5
#181064791;FALSE;Podbělohorská 720 26;150 00 Praha 5
#181064791;FALSE;U Santošky 1007 1;150 00 Praha 5
#181064791;FALSE;Nepomucká 139 1;150 00 Praha 5
#181064791;FALSE;Od Školy 596 5;155 00 Praha 5
#181064791;FALSE;Brdičkova 1878 2;155 00 Praha 5
#181064791;FALSE;Bronzová 2027 35;155 00 Praha 5
#181064791;FALSE;Ke Smíchovu 16 140;154 00 Praha 5
#181064791;FALSE;Chaplinovo náměstí 615 1;152 00 Praha 5
#181064791;FALSE;Fingerova 2186 17;158 00 Praha 5
#181064791;FALSE;Na Okraji 305 43;162 00 Praha 6
#181064791;FALSE;Norbertov 126 1;162 00 Praha 6
#181064791;FALSE;Pod Marjánkou 1900 2;169 00 Praha 6
#181064791;FALSE;Žákovská 164a 3;165 00 Praha 6
#181064791;FALSE;Františka Křížka 490 2;170 00 Praha 7
#181064791;FALSE;Korunovační 164 8;170 00 Praha 7
#181064791;FALSE;Glowackého 555 6;181 00 Praha 8
#181064791;FALSE;Hlivická 400 1;181 00 Praha 8
#181064791;FALSE;Spořická 400 34;184 00 Praha 8
#181064791;FALSE;Na Šutce 440 28;182 00 Praha 8
#181064791;FALSE;Dolákova 555 1;181 00 Praha 8
#181064791;FALSE;Mýtní 73;190 11 Praha 9
#181064791;FALSE;Slavětínská 200;190 14 Praha 9
#181064791;FALSE;Špitálská 789 4;190 00 Praha 9
#181064791;FALSE;Chodovická 2250 36;193 00 Praha 9
#181064791;FALSE;Národních hrdinů 70;190 12 Praha 9
#181064791;FALSE;Chvaletická 918 4;198 00 Praha 9
#181064791;FALSE;Generála Janouška 1006 21;198 00 Praha 9
#181064791;FALSE;Fryčovická 462;199 00 Praha 9
#181064791;FALSE;Lupenická 20 6;190 16 Praha 9
#181064791;FALSE;Spojenců 1408 63;193 00 Praha 9
#181064791;FALSE;Rychnovská 350;199 00 Praha 9
#181064791;FALSE;náměstí Na Balabence 800 7;190 00 Praha 9
#181064791;FALSE;Stoliňská 823 16;193 00 Praha 9
#181064791;FALSE;U Vršovického nádraží 950 1;101 00 Praha 10
#181064791;FALSE;Švehlova 2900 12;106 00 Praha 10
#181064791;FALSE;Vladivostocká 1035 6;100 00 Praha 10
#181064791;FALSE;Nad Vodovodem 460 81;108 00 Praha 10
#181064791;FALSE;Olešská 2222 18;100 00 Praha 10
#181064791;FALSE;U Školy 285 2;102 00 Praha 10
#181064791;FALSE;Nad Přehradou 469;109 00 Praha 10
#181064791;FALSE;náměstí Bří Jandusů 2 38;104 00 Praha 10
#181064791;FALSE;Veronské náměstí 391 20;109 00 Praha 10
#181064855;FALSE;Libušská 48 43;142 00 Praha 4 - Písnice
#181064871;FALSE;Libušská 48 43;142 00 Praha 4
#181086930;FALSE;parc. č. 741;251 68 Kamenice
#181067277;FALSE;Skuheř, Kostelecká 508;251 68 Kamenice
#181067269;FALSE;Skuheř, Kostelecká 508;251 68 Kamenice
#181067307;FALSE;Neklanova 1806;413 01 Roudnice nad Labem
#181066459;FALSE;Ruprechtická 440 33;460 01 Liberec 1
#181066467;FALSE;Ruprechtická 440 33;460 01 Liberec 1
#181066475;FALSE;Zlukov 66;391 81 Veselí nad Lužnicí
#181066483;FALSE;Zlukov 66;391 81 Veselí nad Lužnicí
#181066556;FALSE;Vratičová 263;155 21 Praha 5
#181066564;FALSE;Vratičová 263;155 21 Praha 5
#181066882;FALSE;Washingtonova 1567/25;110 00 Praha 1 - Nové Město
#181066891;FALSE;Husova, parc.st.pl.2793 (tělocvična);697 01 Kyjov
#181066955;FALSE;Kozomínská 414;250 70 Postřižín
#181066963;FALSE;Kozomínská 414;250 70 Postřižín
#181070120;FALSE;Školská 555;281 02 Cerhenice
#181070138;FALSE;Školská 555;281 02 Cerhenice
#181071339;TRUE;K Radonicům, p.č. 930, č. 33, 34, 35;Satalice;190 15 Praha 9
#181118181;FALSE;pozemek p.č. 7/2 (k. ú. Velenov);680 01 Obec Velenov
#181085861;FALSE;Tisová č. pozemku 75/1;251 68 Kamenice
#181085887;FALSE;(pozemek s parcelním číslem 418/11);Hradec Králové - katastrální území Kluky
#181085887;FALSE;(pozemek s parcelním číslem 418/10);Hradec Králové - katastrální území Kluky
